46868|29043|10001|9|230
19710|29043|10001|10|230
13019|29043|65957|15|230
41292|29043|65957|22|230
16738|29043|94667|17|230
96748|29043|10001|3|230
38850|29043|12811|1|230
26943|29043|12811|2|230
97467|29043|12811|7|230
12177|29043|12811|8|230
11074|29043|12811|13|230
69633|29043|12811|14|230
14504|29043|12811|16|230
11138|29043|12811|11|230
93999|29043|12811|4|230
55958|29043|12811|5|230
67882|29043|12811|6|230
40724|29043|12811|12|230
21523|29043|12811|18|230
89993|29043|12811|19|230
93890|29043|12811|20|230
20759|29043|12811|21|230
82969|29043|12811|23|230
52931|29043|12811|24|230
68525|29043|12811|25|230
78272|29043|12811|26|230
31214|29043|12811|27|230
87326|29043|12811|28|230
95436|29043|12811|29|230
49916|29043|12811|30|230
