77701|22965|10001|26|1200
16620|22965|10001|27|1200
46868|29043|10001|9|230
19710|29043|10001|10|230
37534|13949|10001|8|1500
18999|13949|10001|9|1500
13019|29043|65957|15|230
41292|29043|65957|22|230
22684|31020|10001|15|1110
16738|29043|94667|17|230
35490|31020|10001|1|1110
75513|31020|10001|2|1110
83725|13949|10001|1|1500
96217|13949|10001|2|1500
96748|29043|10001|3|230
14108|11111|10001|2|1500
91740|12995|10001|15|1000
98291|12995|10001|21|1000
46070|12995|10001|14|1000
67355|11111|12811|3|1500
54512|13949|12811|8|1500
33362|31020|10001|15|1110
77829|29503|10001|14|550
75733|29503|10001|22|550
30371|11111|10001|10|1500
78730|11111|10001|8|1500
47178|11111|10001|9|1500
91040|22965|10001|8|1200
29483|36763|10001|16|1090
73261|36763|10001|15|1090
67719|36763|10001|22|1090
74230|36763|10001|23|1090
26024|36763|10001|7|1090
54763|12995|10001|20|1000
98007|12995|10001|27|1000
98706|12995|10001|26|1000
78877|12995|10001|25|1000
51187|12995|10001|19|1000
44329|12995|10001|13|1000
88817|12995|10001|7|1000
61475|12995|10001|1|1000
76686|12995|10001|2|1000
81481|12995|10001|3|1000
15682|12995|10001|4|1000
45989|12995|10001|5|1000
17537|12995|10001|6|1000
10061|12995|10001|11|1000
91050|12995|10001|12|1000
35092|12995|10001|17|1000
58636|12995|10001|18|1000
21513|12995|10001|23|1000
16984|12995|10001|24|1000
48142|12995|10001|29|1000
37732|12995|10001|30|1000
31073|22965|12811|14|1500
90375|22965|10001|5|1500
58240|22965|10001|4|1500
37197|22965|10001|3|1500
92119|22965|10001|2|1500
29075|22965|10001|1|1500
58730|22965|10001|7|1500
83349|22965|10001|10|1500
34306|22965|10001|12|1500
82604|22965|10001|17|1500
93464|22965|10001|18|1500
92846|22965|10001|19|1500
85431|22965|10001|20|1500
69745|22965|10001|21|1500
26001|22965|10001|22|1500
31505|22965|10001|23|1500
85582|22965|10001|24|1500
10545|22965|10001|25|1500
27919|22965|10001|29|1500
95590|22965|10001|30|1500
42065|87652|10001|1|960
65301|87652|10001|2|960
44332|87652|10001|3|960
45165|87652|10001|4|960
82688|87652|10001|5|960
78354|12995|12811|9|1000
56180|12995|12811|10|1000
77728|12995|12811|8|1000
37604|12995|12811|22|1000
64994|12995|12811|16|1000
64025|12995|12811|28|1000
58731|22965|12811|16|1500
92463|22965|12811|15|1500
72731|22965|12811|28|1500
38807|22965|12811|9|1500
15972|22965|12811|11|1500
12583|22965|12811|6|1500
17731|22965|12811|13|1500
38850|29043|12811|1|230
26943|29043|12811|2|230
97467|29043|12811|7|230
12177|29043|12811|8|230
11074|29043|12811|13|230
69633|29043|12811|14|230
14504|29043|12811|16|230
11138|29043|12811|11|230
93999|29043|12811|4|230
55958|29043|12811|5|230
67882|29043|12811|6|230
40724|29043|12811|12|230
21523|29043|12811|18|230
89993|29043|12811|19|230
93890|29043|12811|20|230
20759|29043|12811|21|230
82969|29043|12811|23|230
52931|29043|12811|24|230
68525|29043|12811|25|230
78272|29043|12811|26|230
31214|29043|12811|27|230
87326|29043|12811|28|230
95436|29043|12811|29|230
44592|29503|12811|16|550
49916|29043|12811|30|230
